Id,SalePrice
1461,135225.12409491552
1462,157572.06407688573
1463,178673.8424444859
1464,192592.24586367537
1465,203327.42923955998
1466,171539.64802627504
1467,177521.61422911703
1468,165995.2448222499
1469,188057.3480167429
1470,119891.09266756292
1471,188452.03609795528
1472,97477.56836877737
1473,97714.62926365036
1474,148828.97085822406
1475,126532.73932702631
1476,350956.51016313443
1477,255911.95407181716
1478,282002.92647317203
1479,273682.6298196028
1480,457370.3273447692
1481,316960.94537842664
1482,214359.51286230818
1483,172551.55824291226
1484,167323.346234458
1485,182590.28444021242
1486,197642.0997017729
1487,349123.416826095
1488,235182.62031993578
1489,207591.06929500986
1490,221257.9743818465
1491,189767.4704102738
1492,99666.4371498178
1493,187442.43576521237
1494,294539.7247542762
1495,298808.613792884
1496,239309.14646197567
1497,185542.1609539811
1498,163459.14358484527
1499,163098.39110311202
1500,159891.01181282543
1501,174883.20232751427
1502,159489.16990045938
1503,277352.4138453852
1504,244156.04942704062
1505,226372.98021256016
1506,186940.9373918293
1507,244235.6000606651
1508,193927.83175263595
1509,163350.57230984783
1510,142125.36899100608
1511,145602.09897202888
1512,170922.96949848454
1513,146450.27703163252
1514,152738.14711228167
1515,185555.43244499993
1516,149576.1877343228
1517,165641.8932557796
1518,128019.73949807299
1519,206771.698066031
1520,131829.69422091593
1521,132401.53406897953
1522,174093.64130312
1523,113278.8559512418
1524,122153.11856893908
1525,123804.40462308352
1526,114549.17828581236
1527,109726.04371192984
1528,136411.50474831162
1529,139994.49261363008
1530,173705.96007700288
1531,114276.11005487495
1532,102154.00596929817
1533,140932.38579978378
1534,117359.21337632662
1535,142768.51199291338
1536,110193.0010310189
1537,71295.69119734569
1538,156203.10191957935
1539,213286.20592366633
1540,87717.43293457282
1541,140672.80500068917
1542,130470.12466157346
1543,176241.00743023687
1544,79040.17317193354
1545,104447.91935497058
1546,133394.52135216183
1547,124665.19115074823
1548,127081.92741485705
1549,112724.77771627618
1550,131416.94615368635
1551,111141.32045218711
1552,128362.72915604261
1553,149926.32526034844
1554,119052.1391661444
1555,166031.7256058873
1556,103244.3022736183
1557,107519.04874225099
1558,104915.87409343828
1559,90251.52106411866
1560,136316.5360480442
1561,125041.31403086949
1562,135115.52849465722
1563,122775.98533588751
1564,151034.36444249505
1565,148308.24862347852
1566,234375.225281295
1567,78787.53716548473
1568,228358.97965435323
1569,129402.69994400315
1570,148224.37629962104
1571,124713.78457859046
1572,138593.6556963879
1573,230343.34021255275
1574,112812.13977104185
1575,217964.5840998177
1576,235125.6886273373
1577,185014.30859234856
1578,156678.81551603856
1579,143569.36589878757
1580,188672.6765473891
1581,152858.53762591473
1582,130518.338778502
1583,299251.8928669622
1584,229915.43752206693
1585,143575.3597390822
1586,69735.2283001417
1587,109482.77387114338
1588,143366.07635591453
1589,97415.72391074375
1590,133811.9953695942
1591,102395.04374656413
1592,112999.31157081203
1593,127660.4273790626
1594,124423.40487844897
1595,109262.33575157904
1596,211923.57684942786
1597,173640.7226030467
1598,199309.17642163215
1599,189050.83667949538
1600,181389.4183782277
1601,68411.18311732843
1602,116599.74639595897
1603,83131.51712526864
1604,257026.7481582275
1605,228579.84133850617
1606,169044.02621681
1607,167203.63442671412
1608,212241.4499550277
1609,193345.5244302653
1610,160114.39065622078
1611,137780.52157120465
1612,158409.72701763912
1613,156405.47425073714
1614,119283.63580635238
1615,93187.7534811156
1616,84315.42872150858
1617,94053.71692990474
1618,126644.86300020695
1619,135062.97811514928
1620,153623.18336571223
1621,137726.94843970894
1622,137023.5778393895
1623,261721.77334557916
1624,206687.80580741243
1625,125633.41668738541
1626,163293.0756374162
1627,185297.10414088776
1628,259552.10787985448
1629,176700.97519429232
1630,354281.1829205296
1631,214503.31029387662
1632,243731.24441361285
1633,173322.3365630913
1634,184468.0263425299
1635,178589.59498527553
1636,161441.43943210514
1637,188470.942769693
1638,198314.81253848967
1639,183741.75739291328
1640,256704.16991495495
1641,185717.9583745142
1642,240610.2108312653
1643,231829.34697323694
1644,234138.50463996604
1645,205181.38792339945
1646,164655.82276623274
1647,160010.8009526516
1648,127657.6618024132
1649,139482.69630737815
1650,117136.38414023592
1651,122538.2136186496
1652,99126.322279068
1653,103355.48876203722
1654,146229.91179319078
1655,144528.33191890523
1656,141268.2397201699
1657,146759.06888851747
1658,146225.85424852904
1659,132320.23331490436
1660,156626.1038831977
1661,443452.1843317833
1662,378100.03427282505
1663,361031.4088397789
1664,417743.10002401966
1665,296742.8741870123
1666,331076.60947731766
1667,360866.5005954444
1668,330215.5281403132
1669,295320.84746793646
1670,343133.80538535886
1671,267476.16579558793
1672,414791.38994182943
1673,295710.6680786025
1674,249061.96625650523
1675,197100.48567600243
1676,198091.94386112972
1677,219428.37649291844
1678,404163.1720585863
1679,370277.6351271861
